N,n,tiempoSerialMs,tiempoParaleloMs,minimo,maximo,mejoraPorcentaje
5,3,3,5,1.8666279757894988,10.833074355878852,-66.67
1000,3,923,449,0.6114907767088541,160.0026562593884,51.35
2000,3,1592,1048,0.45046110819914004,160.0026562593884,34.17
5000,3,5761,5379,0.3246476397573216,166.22381419366482,6.63
10000,3,20628,20610,0.2631802614179083,167.92492930547863,0.09
1000,10,1278,652,24.695259453384974,226.1010746719042,48.98
1000,50,3117,2470,169.03940443792982,390.7720857101618,20.76
2000,10,2966,2302,22.695533848755357,232.38225223902106,22.39
